issue	sku	product_name	competitor	price	in_stock	active	is_used	context	url
PRICE_ZERO_IN_STOCK	HP-F2A68A	Máy in HP LaserJet Enterprise M506n (F2A68A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-enterprise-m506n-f2a68a-.html
PRICE_ZERO_IN_STOCK	HP-G3Q74A	Máy in HP LaserJetPro MFP M227sdn (G3Q74A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-mfp-m227sdn-g3q74a-.html
PRICE_ZERO_IN_STOCK	HP-G3Q79A	Máy in HP LaserJetPro MFP M227fdn (G3Q79A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-mfp-m227fdn-g3q79a-.html
PRICE_ZERO_IN_STOCK	HP-K0Q14A	Máy in HP LaserJet Enterprise M607n (K0Q14A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-enterprise-m607n-k0q14a-.html
PRICE_ZERO_IN_STOCK	HP-K0Q17A	Máy in HP LaserJet Enterprise M608n (K0Q17A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-enterprise-m608n-k0q17a-.html
PRICE_ZERO_IN_STOCK	HP-K0Q18A	Máy in HP LaserJet Enterprise M608dn (K0Q18A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-enterprise-m608dn-k0q18a-.html
PRICE_ZERO_IN_STOCK	HP-K0Q21A	Máy in HP LaserJet Enterprise M609dn (K0Q21A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-enterprise-m609dn-k0q21a-.html
PRICE_ZERO_IN_STOCK	HP-M154A	Máy in HP LaserJetPro M154A	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-m154a.html
PRICE_ZERO_IN_STOCK	HP-M181FW	Máy in HP Color LaserJet Pro MFP M181FW T6B71A	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-color-laserjet-pro-mfp-m181fw-t6b71a.html
PRICE_ZERO_IN_STOCK	HP-M404DN	Máy in HP LaserJet Pro M404dn W1A53A	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-m404dn-w1a53a.html
PRICE_ZERO_IN_STOCK	HP-M404DW	Máy in HP LaserJet Pro 400 M404dw W1A56A	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-pro-400-m404dw-w1a56a.html
PRICE_ZERO_IN_STOCK	HP-M438DN-8AF44A	Máy in HP LaserJet M438DN-8AF44A	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-laserjet-m438dn-8af43a.html
PRICE_ZERO_IN_STOCK	HP-M477FNW	Máy in HP Color Laserjet Pro MFP M477Fnw CF377A	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-color-laserjet-pro-mfp-m477fnw-cf377a.html
PRICE_ZERO_IN_STOCK	HP-M507DN	Máy in HP M507dn 1PV87A	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-m507dn-1pv87a.html
PRICE_ZERO_IN_STOCK	HP-T3U43A	Máy in HP Color LaserJet Ent M751n (T3U43A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-color-laserjet-ent-m751n-t3u43a.html
PRICE_ZERO_IN_STOCK	HP-T3U44A	Máy in HP Color LaserJet Ent M751dn (T3U44A)	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-hp-color-laserjet-ent-m751dn-t3u44a.html
